UserID,acc,dis
1,0.9884460410699548,0
2,0.9823208679847992,0
3,0.9981619758759334,0
4,0.9889755011135858,0
5,0.9820095214232022,0
6,0.9971019247594051,0
7,0.997817591229762,0
8,0.9927469553450609,0
9,0.9876844730825193,0
10,0.9957898190168954,0
11,0.9774653710977879,1
12,0.9836042336042337,1
13,0.9640104066294084,1
14,0.9532248093962498,1
15,0.9663678216622243,1
16,0.9499510334518839,1
17,0.9945350374614368,1
18,0.9955466246673546,1
19,0.9928142580248664,1
20,0.9580939506590064,1
